match_id,game_id_opta,event_id,team_id,team_name,opponent_team_id,opponent_team_name,period,period_second,match_second,match_minute,minute_bin_5,player_id,player_name,metric_unit,zone,third,channel,x,y,end_x,end_y,x_oriented,y_oriented,end_x_oriented,end_y_oriented,event_type,outcome,phase,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level,is_box_entry,is_final_third_entry,is_progressive,is_set_play,order,threat_value,xg
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,1cd32ad7-ad65-55f5-98f3-e85f8fcd4659,1000,FCM,569,FCK,1,68.32,68.32,2,0,474838,E. Martinez,count,attacking_third,attacking_third,central_channel,-22.87,2.22,-11.69,24.9,22.87,2.22,11.69,24.9,run_start_loc,,,context event,FCM context event at minute 2.,Territory & Control,pitch scatter map,low,false,false,false,false,102,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,ef4d7e06-9544-5c99-92c6-37ff7de72a51,1000,FCM,569,FCK,1,68.52,68.52,2,0,228044,M. Bech,count,attacking_third,attacking_third,central_channel,-48.54,11.52,-37.24,30.41,48.54,11.52,37.24,30.41,pass,reception,,box involvement,FCM box involvement at minute 2.,Chance Creation & Final Third,pitch scatter map,high,true,false,false,false,103,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,98935a7a-cbdb-5752-b61f-9ec3b03158d8,1000,FCM,569,FCK,1,68.68,68.68,2,0,,,count,middle_third,middle_third,right_channel,-18.2,18.1,-30.76,29.58,18.2,18.1,30.76,29.58,completed_pass,completed_pass,,final-third entry,FCM final-third entry at minute 2.,Territory & Control,pitch scatter map,medium,false,true,true,false,105,0.05,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,b5e92cfe-2d9a-52ab-90ac-e43927bfa6f1,1000,FCM,569,FCK,1,70.72,70.72,2,0,,,count,defensive_third,defensive_third,central_channel,40.55,-9.74,18.4,-9.28,-40.55,-9.74,-18.4,-9.28,loss,,progression,turnover / loss,FCM turnover / loss at minute 2.,Defensive Behaviour & Transitions,pitch scatter map,high,false,false,false,false,110,0.02,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,e2e58f35-4359-5c11-b90a-b2480e917876,1000,FCM,569,FCK,1,70.96,70.96,2,0,,,count,middle_third,middle_third,right_channel,0.36,25.41,-16.8,28.6,-0.36,25.41,16.8,28.6,loss,lost_ball,,turnover / loss,FCM turnover / loss at minute 2.,Defensive Behaviour & Transitions,pitch scatter map,high,false,false,false,false,111,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,dd753592-7125-528b-bbe3-7c4bdeff57dd,1000,FCM,569,FCK,1,71.12,71.12,2,0,204164,J. Andersson,count,attacking_third,attacking_third,right_channel,-35.46,30.35,-12.17,29.31,35.46,30.35,12.17,29.31,pass,reception,,context event,FCM context event at minute 2.,Territory & Control,pitch scatter map,low,false,false,false,false,112,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,58f4b0c3-ca8c-5852-a46d-48128d233a15,1000,FCM,569,FCK,1,71.4,71.4,2,0,,,count,attacking_third,attacking_third,right_channel,-24.52,16.24,-13.08,26.26,24.52,16.24,13.08,26.26,defender_dribbled,defender_dribbled,,context event,FCM context event at minute 2.,Territory & Control,pitch scatter map,low,false,false,false,false,114,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,2d7d9cd5-75ac-58c6-9db1-ed92e49b0e43,1000,FCM,569,FCK,1,73,73,2,0,477672,A. Simsir,count,middle_third,middle_third,central_channel,15.31,-9.01,18.4,-9.28,-15.31,-9.01,-18.4,-9.28,loss,ball_lost,,turnover / loss,FCM turnover / loss at minute 2.,Defensive Behaviour & Transitions,pitch scatter map,high,false,false,false,false,118,0,0
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,027c3a51-dc83-579e-9860-32d1d75043e4,569,FCK,1000,FCM,1,74.12,74.12,2,0,,,count,attacking_third,attacking_third,left_channel,26.85,-26.95,26.02,-26.6,26.85,-26.95,26.02,-26.6,completed_pass,completed_pass,,final-third entry,FCK final-third entry at minute 2.,Territory & Control,pitch scatter map,medium,false,false,false,false,124,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,579f34aa-4712-58f5-993a-6c3995a7b6b6,569,FCK,1000,FCM,1,74.48,74.48,2,0,512627,G. Gocholeishvili,count,middle_third,middle_third,left_channel,17.12,-28.55,26.8,-33.56,17.12,-28.55,26.8,-33.56,run_start_loc,,,final-third entry,FCK final-third entry at minute 2.,Territory & Control,pitch scatter map,medium,false,true,false,false,125,0.05,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,e4612b5f-d2cf-5784-b0f5-e8b5e2179b7d,569,FCK,1000,FCM,1,74.6,74.6,2,0,,,count,middle_third,middle_third,left_channel,16.87,-29.83,19.95,-26.98,16.87,-29.83,19.95,-26.98,defender_dribbled,defender_dribbled,,final-third entry,FCK final-third entry at minute 2.,Territory & Control,pitch scatter map,medium,false,true,false,false,126,0.05,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,29aebc91-0245-5e11-ab11-cb027713b0b3,569,FCK,1000,FCM,1,75,75,2,0,433957,M. Mattsson,count,attacking_third,attacking_third,central_channel,27.31,-5.77,20.13,-8.22,27.31,-5.77,20.13,-8.22,backward,backward,,final-third entry,FCK final-third entry at minute 2.,Territory & Control,pitch scatter map,medium,false,false,false,false,127,0,0
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,5405262c-f861-5bbb-970b-53ff94f05254,569,FCK,1000,FCM,1,75,75,2,0,,,count,attacking_third,attacking_third,left_channel,23.61,-24.54,-14.82,-19.73,23.61,-24.54,-14.82,-19.73,recovery,turnover,tackle,ball recovery,FCK ball recovery at minute 2.,Defensive Behaviour & Transitions,pitch scatter map,high,false,false,false,false,128,0,0
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,63f7ce4e-9a4e-5775-b5b7-776493b6ddfa,569,FCK,1000,FCM,1,75,75,2,0,,,count,attacking_third,attacking_third,central_channel,27.31,-5.77,20.13,-8.22,27.31,-5.77,20.13,-8.22,regain,,regain,final-third entry,FCK final-third entry at minute 2.,Territory & Control,pitch scatter map,medium,false,false,false,false,129,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,4c681fd1-acbf-5520-9592-6e3b2082e2ae,569,FCK,1000,FCM,1,76.96,76.96,2,0,433957,M. Mattsson,count,middle_third,middle_third,left_channel,16.77,-28.15,-0.96,-25.59,16.77,-28.15,-0.96,-25.59,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,132,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,dafc1ddf-beb2-5814-b27d-44cb4b2d608d,569,FCK,1000,FCM,1,79.52,79.52,2,0,475413,Gabriel Pereira,count,middle_third,middle_third,left_channel,-2.76,-20.67,-16.29,-1.38,-2.76,-20.67,-16.29,-1.38,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,138,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,afb7e948-8f9a-5a98-8466-a6bdcc069f0d,569,FCK,1000,FCM,1,83.04,83.04,2,0,220246,P. Hatzidiakos,count,defensive_third,defensive_third,central_channel,-20.56,4.17,-37.33,-2.05,-20.56,4.17,-37.33,-2.05,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,146,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,83a0b33a-2cb1-54c7-973d-74f0277566c5,569,FCK,1000,FCM,1,86,86,2,0,232398,N. Trott,count,defensive_third,defensive_third,central_channel,-36.75,-4.92,-31.33,-19.43,-36.75,-4.92,-31.33,-19.43,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,151,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,66de91f1-4fe0-5ace-aef7-bf462c2b751e,569,FCK,1000,FCM,1,92.4,92.4,2,0,475413,Gabriel Pereira,count,defensive_third,defensive_third,left_channel,-23.71,-26,-26.53,-32.76,-23.71,-26,-26.53,-32.76,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,156,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,c3ed0a72-61c1-56eb-a7ab-eab56f0a5973,569,FCK,1000,FCM,1,94.4,94.4,2,0,512627,G. Gocholeishvili,count,defensive_third,defensive_third,left_channel,-26.88,-31.45,-43.33,-8.67,-26.88,-31.45,-43.33,-8.67,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,159,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,e3a4a472-47c3-5353-9964-c920081e3fb4,569,FCK,1000,FCM,1,98.2,98.2,2,0,232398,N. Trott,count,defensive_third,defensive_third,central_channel,-40.08,-4.23,-32.53,11.6,-40.08,-4.23,-32.53,11.6,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,162,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,77c736f4-2ef9-5871-897a-e6586314d491,569,FCK,1000,FCM,1,104.68,104.68,2,0,220246,P. Hatzidiakos,count,defensive_third,defensive_third,right_channel,-21.3,23.69,-33.8,2.93,-21.3,23.69,-33.8,2.93,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,166,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,78796d15-8fc7-5847-83e6-6a8ebd915bc0,569,FCK,1000,FCM,1,113.2,113.2,2,0,232398,N. Trott,count,defensive_third,defensive_third,central_channel,-24.46,1.64,-20.58,16.53,-24.46,1.64,-20.58,16.53,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,169,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,881c211b-5bfd-5d1a-ad9f-363c50117948,569,FCK,1000,FCM,1,116.68,116.68,2,0,220246,P. Hatzidiakos,count,middle_third,middle_third,right_channel,-14.12,20.33,-6.15,17.58,-14.12,20.33,-6.15,17.58,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,175,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,05669161-bcf4-5ad4-a2c4-3039e79eba66,569,FCK,1000,FCM,1,117.56,117.56,2,0,68640,T. Delaney,count,middle_third,middle_third,right_channel,-6.35,17.67,-30.9,1.22,-6.35,17.67,-30.9,1.22,pass,reception,,context event,FCK context event at minute 2.,Executive Match Overview,pitch scatter map,low,false,false,false,false,179,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,6d8e3f2b-6c65-57f2-b837-8985d6b97fe3,569,FCK,1000,FCM,1,120.64,120.64,3,0,232398,N. Trott,count,defensive_third,defensive_third,central_channel,-28.99,-0.85,-22.24,-14.54,-28.99,-0.85,-22.24,-14.54,pass,reception,,context event,FCK context event at minute 3.,Executive Match Overview,pitch scatter map,low,false,false,false,false,182,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,c62330d0-63a4-58e6-9cfe-66c74ac41dff,569,FCK,1000,FCM,1,124.4,124.4,3,0,,,count,middle_third,middle_third,central_channel,-13.94,-2.15,-12.99,-2.51,-13.94,-2.15,-12.99,-2.51,loss,,progression,turnover / loss,FCK turnover / loss at minute 3.,Defensive Behaviour & Transitions,pitch scatter map,high,false,false,false,false,189,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,f930523d-7b37-592e-9a1c-034d1c80088b,569,FCK,1000,FCM,1,124.68,124.68,3,0,475413,Gabriel Pereira,count,middle_third,middle_third,left_channel,-14.82,-19.73,9.98,-4.93,-14.82,-19.73,9.98,-4.93,pass,interception,,context event,FCK context event at minute 3.,Executive Match Overview,pitch scatter map,medium,false,false,false,false,193,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,f450c60c-db3c-5de5-a5a8-e4d450420501,1000,FCM,569,FCK,1,125.8,125.8,3,0,,,count,middle_third,middle_third,central_channel,-1.09,10.99,-33.85,9.89,1.09,10.99,33.85,9.89,completed_pass,completed_pass,,final-third entry,FCM final-third entry at minute 3.,Territory & Control,pitch scatter map,medium,false,true,true,false,194,0.05,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,375a5926-3923-5c0f-bad7-65f5c6c51d01,1000,FCM,569,FCK,1,126.16,126.16,3,0,,,count,middle_third,middle_third,central_channel,-11.08,-11.8,-20.24,-1.34,11.08,-11.8,20.24,-1.34,completed_pass,completed_pass,,final-third entry,FCM final-third entry at minute 3.,Territory & Control,pitch scatter map,medium,false,true,false,false,195,0.05,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,75aa8d3a-649d-556e-8569-a9a0db9a66a8,1000,FCM,569,FCK,1,127.6,127.6,3,0,,,count,middle_third,middle_third,central_channel,-15.72,-3.35,-44.23,3.76,15.72,-3.35,44.23,3.76,recovery,turnover,interception,box involvement,FCM box involvement at minute 3.,Chance Creation & Final Third,pitch scatter map,high,true,true,false,false,198,0.15,0
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,f697c1ad-35b5-5fab-93b9-184a5dd354ed,569,FCK,1000,FCM,1,127.6,127.6,3,0,,,count,attacking_third,attacking_third,central_channel,19.03,13.17,48.93,8.34,19.03,13.17,48.93,8.34,start_loc,,transition,box involvement,FCK box involvement at minute 3.,Chance Creation & Final Third,pitch scatter map,high,true,false,false,false,200,0.1,0
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,58661edf-285d-5a92-b33a-a41f789db581,1000,FCM,569,FCK,1,127.68,127.68,3,0,120721,K. Mbabu,count,middle_third,middle_third,central_channel,-15.9,-3.12,-23.16,11.7,15.9,-3.12,23.16,11.7,pass,reception,,final-third entry,FCM final-third entry at minute 3.,Territory & Control,pitch scatter map,medium,false,true,false,false,201,0.05,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,18e3b5c7-aa23-5f5e-bab9-b5358b772f8f,1000,FCM,569,FCK,1,129.88,129.88,3,0,120721,K. Mbabu,count,attacking_third,attacking_third,central_channel,-22.46,-5.42,-27.58,-17.45,22.46,-5.42,27.58,-17.45,run_start_loc,,,final-third entry,FCM final-third entry at minute 3.,Territory & Control,pitch scatter map,medium,false,false,false,false,207,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,9e66c4db-b753-5ac9-b77e-25a20d2da36e,1000,FCM,569,FCK,1,130.16,130.16,3,0,228044,M. Bech,count,attacking_third,attacking_third,central_channel,-27.91,11.42,-44.39,3.72,27.91,11.42,44.39,3.72,pass,reception,,box involvement,FCM box involvement at minute 3.,Chance Creation & Final Third,pitch scatter map,high,true,false,true,false,208,0.1,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,907c167c-c58e-5022-acfb-112514ef72dd,1000,FCM,569,FCK,1,132.04,132.04,3,0,430901,E. Olafsson,count,attacking_third,attacking_third,central_channel,-44.23,3.76,11.86,24.36,44.23,3.76,-11.86,24.36,pass,interception,,box involvement,FCM box involvement at minute 3.,Chance Creation & Final Third,pitch scatter map,high,true,false,false,false,214,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,0e156eca-43eb-5e1f-a2f3-e534e35579da,1000,FCM,569,FCK,1,132.6,132.6,3,0,,,count,defensive_third,defensive_third,central_channel,40.62,6.43,-9.23,-5.02,-40.62,6.43,9.23,-5.02,loss,,counter_attack,turnover / loss,FCM turnover / loss at minute 3.,Defensive Behaviour & Transitions,pitch scatter map,high,false,false,false,false,215,0.02,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,39cf3d09-6f4b-584d-bf73-6b520b2b9a20,569,FCK,1000,FCM,1,133.8,133.8,3,0,,,count,middle_third,middle_third,left_channel,-1.89,-22.49,-13.33,-23.65,-1.89,-22.49,-13.33,-23.65,loss,lost_ball,,turnover / loss,FCK turnover / loss at minute 3.,Defensive Behaviour & Transitions,pitch scatter map,high,false,false,false,false,216,0,
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,fab44e03-6652-5e19-9c0d-eb52957a5111,569,FCK,1000,FCM,1,134.76,134.76,3,0,,,count,middle_third,middle_third,left_channel,8.62,-15.62,-9.39,-31.65,8.62,-15.62,-9.39,-31.65,loss,lost_ball,,turnover / loss,FCK turnover / loss at minute 3.,Defensive Behaviour & Transitions,pitch scatter map,high,false,false,false,false,217,0,
