match_id,team,player_id,player_name,period,zone,channel,metric_name,player_frame_count,occupation_share,team_density_share,avg_x_oriented,avg_y_oriented,confidence_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,1,middle_third,central_channel,spatial_occupation,18455,0.127399,0.024295,-6.3275,-1.7676,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,1,defensive_third,central_channel,spatial_occupation,11422,0.078849,0.015037,-37.8341,-5.9498,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,1,attacking_third,central_channel,spatial_occupation,9383,0.084922,0.012352,31.9253,0.6458,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,494784,Oliver Sorensen,1,defensive_third,central_channel,spatial_occupation,10840,0.074831,0.01427,-35.8754,-0.418,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,96787,M. Elyounoussi,1,attacking_third,central_channel,spatial_occupation,10175,0.077738,0.013395,30.9547,-0.5774,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,1,defensive_third,central_channel,spatial_occupation,11586,0.079981,0.015252,-34.3241,0.2032,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,1,defensive_third,left_channel,spatial_occupation,7642,0.052754,0.01006,-30.1438,-24.4163,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,1,defensive_third,right_channel,spatial_occupation,7973,0.055039,0.010496,-29.0799,23.5078,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,96787,M. Elyounoussi,1,attacking_third,left_channel,spatial_occupation,3518,0.026878,0.004631,29.218,-22.0098,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,68640,T. Delaney,1,attacking_third,central_channel,spatial_occupation,7515,0.051878,0.009893,34.389,0.5466,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,68640,T. Delaney,1,attacking_third,right_channel,spatial_occupation,2026,0.013986,0.002667,29.9726,20.199,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,68640,T. Delaney,1,middle_third,right_channel,spatial_occupation,10524,0.072649,0.013854,-1.2346,19.3552,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,1,attacking_third,left_channel,spatial_occupation,2518,0.02279,0.003315,30.5765,-18.8575,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,1,defensive_third,left_channel,spatial_occupation,4175,0.028821,0.005496,-31.8758,-19.7304,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,1,defensive_third,left_channel,spatial_occupation,2060,0.014221,0.002712,-30.0434,-21.3852,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,1,middle_third,left_channel,spatial_occupation,8848,0.06108,0.011648,-4.0298,-22.9298,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,1,attacking_third,left_channel,spatial_occupation,2585,0.017845,0.003403,33.4787,-22.5839,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,512627,G. Gocholeishvili,1,attacking_third,left_channel,spatial_occupation,2038,0.016179,0.002683,30.0028,-28.7096,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477672,A. Simsir,1,defensive_third,left_channel,spatial_occupation,1820,0.018941,0.002396,-24.8315,-24.7137,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,494784,Oliver Sorensen,1,defensive_third,left_channel,spatial_occupation,1675,0.011563,0.002205,-30.611,-18.9775,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,546545,E. Achouri,1,attacking_third,right_channel,spatial_occupation,6324,0.057424,0.008325,30.0073,21.7869,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,1,middle_third,right_channel,spatial_occupation,5985,0.047557,0.007879,-7.7788,19.0128,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,551144,Franculino Dju,1,middle_third,right_channel,spatial_occupation,8202,0.063538,0.010798,3.0506,20.9258,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,551144,Franculino Dju,1,middle_third,left_channel,spatial_occupation,6389,0.049493,0.008411,1.7659,-22.7778,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,1,defensive_third,left_channel,spatial_occupation,1021,0.008113,0.001344,-24.7163,-15.5639,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,68640,T. Delaney,1,middle_third,left_channel,spatial_occupation,4330,0.029891,0.0057,0.2279,-19.4393,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,1,middle_third,right_channel,spatial_occupation,3179,0.021945,0.004185,0.6663,18.2763,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,609108,O. Diao,1,defensive_third,right_channel,spatial_occupation,4598,0.031741,0.006053,-30.751,22.3206,high
