match_id,game_id_opta,team_side,team_id,team_name,player_id_opta,player_id_ssi,player_name,shirt_number,position,opta_uuid
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,533646,46934613-a65f-47ee-955e-a9dab0132373,D. Osorio,11,RM,djlyi0ad4x1p0k4thn8n0axw4
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,423651,b563c936-595f-4984-a288-4c9dff93b9cf,E. Chilufya,14,SUB,bcscjb9jdgu4ims9n3vwuj5k9
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,430901,e50ce7da-ca2f-465a-9119-f3cd3e6beeac,E. Olafsson,16,GK,7yim2aepctujr2m4p20a97755
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,450048,5b93e441-83bc-4b52-9ace-dc3120b552bd,K. Askildsen,17,SUB,5cjx2i2perp5vr62en4cyer1m
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,536679,bc820885-3ead-4f7a-8ffc-a5414e9f92c5,P. Bravo,19,SUB,bwfg9frq2ecbzg7wlzqjtnv2s
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,57513,2dcd7981-20bd-47f7-8388-2408995ecc1a,J. Lossl,1,SUB,41ii5y9ebz5e3xhaif9kc8qmt
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,568423,5cc98eec-d48a-4d7f-b371-04cd7b547208,V. Byskov,20,SUB,e73sexp7kse0wlykdi7xcbg2c
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,553784,6c2bd169-4d2f-4c36-836f-c9254cc962ad,D. Castillo,21,SUB,78kzajya12k4sm0ebfl37d6ok
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,228044,78c10560-94f6-4d7a-afc9-c2ca2d870c3b,M. Bech,22,LCB,a87w6l9zsbahdi4knm1347zs9
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,494784,b07f51f9-9824-4daf-a7b5-c5966b610ba3,Oliver Sorensen,24,RCM,drlp4xtkta08jiu0px6m4ocq2
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,240529,0e910af5-0f4f-49cb-99a7-36a970a63c6c,J. Kuchta,25,LF,10esz9pvzonegry7p78n3ce09
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,492474,d112c1ce-131f-4b1a-8c37-377e8f759eaf,Lee Han-Beom,3,SUB,c3sp1x0shf2b24rl5ike6v0iy
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,568414,5fdab7af-57b0-45c9-83cc-2f5bd67fa97f,M. Kruger-Johnsen,41,SUB,e64kcio0848bpw39eedbjyd5g
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,120721,92e22c81-93c3-4da0-b384-ccf1b48963c9,K. Mbabu,43,RB,fwu0bja02waqct7l682s5mfp
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,609108,96784ea7-fa34-4ecc-8b86-6b23041057d4,O. Diao,4,RCB,ddl5g7raihnc9s4u3wetz8v10
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,477664,4b4ae6f6-89b0-4214-b4f8-274aef8109b9,V. Lind,53,SUB,7qgiqoaaarr6c2bs4yffqwju2
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,477672,aab38c5b-87be-4d1a-be86-6aad039c6afa,A. Simsir,58,LM,4zrsiizdbzwwkmit3ta0f0dbe
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,474838,91c9c091-5116-4696-8f0c-a2585f3d2502,E. Martinez,5,LCM,arhoud4vfjvmjaf2pkbm6s48a
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,204164,cc524710-5e1e-480e-b7ae-fd7195d26a2c,J. Andersson,6,LB,8yfw9f74h0yfz51bkxxc8p39x
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,2442592,home,1000,FCM,551144,1ac0c88d-d571-45b3-aeec-4f54b6460a15,Franculino Dju,7,RF,1sdsqfn743j5tqem8ra7sppn8
