match_id,team,player_id,player_name,metric_group,metric_name,metric_value,metric_unit,percentile_within_team,rank_within_team,interpretation_label,insight_text
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,Participation,live_minutes,48.3013,minutes,82.5,1,team leading,M. Bech ranks 1 within FCM for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,494784,Oliver Sorensen,Participation,live_minutes,48.3013,minutes,82.5,1,team leading,Oliver Sorensen ranks 1 within FCM for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,240529,J. Kuchta,Participation,live_minutes,33.546,minutes,50.0,10,above team median,J. Kuchta ranks 10 within FCM for live minutes (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,492474,Lee Han-Beom,Participation,live_minutes,2.084,minutes,27.5,15,around team median,Lee Han-Beom ranks 15 within FCM for live minutes (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,568414,M. Kruger-Johnsen,Participation,live_minutes,0.0,minutes,12.5,16,none,M. Kruger-Johnsen ranks 16 within FCM for live minutes (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,Participation,live_minutes,48.3013,minutes,82.5,1,team leading,K. Mbabu ranks 1 within FCM for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,609108,O. Diao,Participation,live_minutes,48.3013,minutes,82.5,1,team leading,O. Diao ranks 1 within FCM for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477664,V. Lind,Participation,live_minutes,0.0,minutes,12.5,16,none,V. Lind ranks 16 within FCM for live minutes (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477672,A. Simsir,Participation,live_minutes,33.546,minutes,50.0,10,above team median,A. Simsir ranks 10 within FCM for live minutes (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,Participation,live_minutes,48.3013,minutes,82.5,1,team leading,E. Martinez ranks 1 within FCM for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,Participation,live_minutes,48.3013,minutes,82.5,1,team leading,J. Andersson ranks 1 within FCM for live minutes (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,551144,Franculino Dju,Participation,live_minutes,43.2493,minutes,57.5,9,above team median,Franculino Dju ranks 9 within FCM for live minutes (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,96787,M. Elyounoussi,Participation,total_actions,212.0,count,82.5,4,team leading,M. Elyounoussi ranks 4 within FCK for total actions (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,166965,L. Lerager,Participation,total_actions,199.0,count,67.5,7,above team median,L. Lerager ranks 7 within FCK for total actions (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,535944,R. Huescas,Participation,total_actions,51.0,count,32.5,14,around team median,R. Huescas ranks 14 within FCK for total actions (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,114517,A. Cornelius,Participation,total_actions,52.0,count,37.5,13,around team median,A. Cornelius ranks 13 within FCK for total actions (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,622714,Robert,Participation,total_actions,0.0,count,10.0,17,none,Robert ranks 17 within FCK for total actions (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,590186,V. Froholdt,Participation,total_actions,92.0,count,42.5,12,around team median,V. Froholdt ranks 12 within FCK for total actions (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,Participation,total_actions,129.0,count,47.5,11,around team median,N. Trott ranks 11 within FCK for total actions (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,512627,G. Gocholeishvili,Participation,total_actions,216.0,count,92.5,2,team leading,G. Gocholeishvili ranks 2 within FCK for total actions (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,68640,T. Delaney,Participation,total_actions,207.0,count,72.5,6,above team median,T. Delaney ranks 6 within FCK for total actions (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,193228,K. Diks,Participation,total_actions,215.0,count,87.5,3,team leading,K. Diks ranks 3 within FCK for total actions (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,546545,E. Achouri,Participation,total_actions,182.0,count,62.5,8,above team median,E. Achouri ranks 8 within FCK for total actions (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,115918,R. Runarsson,Participation,total_actions,0.0,count,10.0,17,none,R. Runarsson ranks 17 within FCK for total actions (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,592864,O. Hojer,Participation,total_actions,35.0,count,22.5,16,low,O. Hojer ranks 16 within FCK for total actions (low).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,590187,A. Chiakha,Participation,total_actions,0.0,count,10.0,17,none,A. Chiakha ranks 17 within FCK for total actions (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,572146,M. Garan'anga,Participation,total_actions,0.0,count,10.0,17,none,M. Garan'anga ranks 17 within FCK for total actions (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,475413,Gabriel Pereira,Participation,total_actions,232.0,count,97.5,1,team leading,Gabriel Pereira ranks 1 within FCK for total actions (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,Participation,total_actions,175.0,count,57.5,9,above team median,P. Hatzidiakos ranks 9 within FCK for total actions (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,111756,V. Claesson,Participation,total_actions,47.0,count,27.5,15,around team median,V. Claesson ranks 15 within FCK for total actions (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,Participation,total_actions,208.0,count,77.5,5,team leading,M. Mattsson ranks 5 within FCK for total actions (team leading).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,Participation,total_actions,174.0,count,52.5,10,above team median,G. Onugkha ranks 10 within FCK for total actions (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,533646,D. Osorio,Participation,total_actions,224.0,count,72.5,6,above team median,D. Osorio ranks 6 within FCM for total actions (above team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,423651,E. Chilufya,Participation,total_actions,48.0,count,37.5,13,around team median,E. Chilufya ranks 13 within FCM for total actions (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,430901,E. Olafsson,Participation,total_actions,60.0,count,42.5,12,around team median,E. Olafsson ranks 12 within FCM for total actions (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,450048,K. Askildsen,Participation,total_actions,0.0,count,12.5,16,none,K. Askildsen ranks 16 within FCM for total actions (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,536679,P. Bravo,Participation,total_actions,0.0,count,12.5,16,none,P. Bravo ranks 16 within FCM for total actions (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,57513,J. Lossl,Participation,total_actions,0.0,count,12.5,16,none,J. Lossl ranks 16 within FCM for total actions (none).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,568423,V. Byskov,Participation,total_actions,61.0,count,47.5,11,around team median,V. Byskov ranks 11 within FCM for total actions (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,553784,D. Castillo,Participation,total_actions,15.0,count,32.5,14,around team median,D. Castillo ranks 14 within FCM for total actions (around team median).
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,Participation,total_actions,273.0,count,97.5,1,team leading,M. Bech ranks 1 within FCM for total actions (team leading).
