match_id,team,period,minute_bin_5,metric_name,metric_value,metric_unit,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level,confidence_level,phase_context
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,10,line_height_gap,22.9552,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,10,team_width,39.5213,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,10,team_depth,31.9454,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,10,centroid_x,-8.2638,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,10,centroid_y,2.7892,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,10,compactness,14.6514,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,10,avg_block_height,-8.2638,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,10,defensive_line_height,-17.0015,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,10,midfield_line_height,-7.3322,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,10,forward_line_height,2.4548,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,10,line_height_gap,19.8261,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,15,team_width,37.9589,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,15,team_depth,35.1707,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,15,centroid_x,2.0526,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,15,centroid_y,-3.7187,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,15,compactness,15.3267,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,15,avg_block_height,2.0526,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,high,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,15,defensive_line_height,-8.059,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,15,midfield_line_height,4.4979,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,15,forward_line_height,17.3853,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,1,15,line_height_gap,25.9661,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,medium,medium,live_all
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,1,15,team_width,40.3773,meters,tracking-derived,,Tracking & Team Shape,time-series line chart,high,high,live_all
