match_id,team,player_id,player_name,primary_profile,secondary_profile,strengths,risks,staff_note
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,Defensive ball-winner,Progression hub,progressive passes,no standout risk flag,P. Hatzidiakos profiles as defensive ball-winner.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,111756,V. Claesson,Final-third connector,Defensive ball-winner,balanced contribution,no standout risk flag,V. Claesson profiles as final-third connector.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,433957,M. Mattsson,Final-third connector,Progression hub,threat contribution; involvement share,no standout risk flag,M. Mattsson profiles as final-third connector.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,457214,G. Onugkha,Box threat,Progression hub,threat contribution; shots,loss risk per action; dangerous losses; central losses,"G. Onugkha profiles as box threat. Monitor loss risk per action, dangerous losses."
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,533646,D. Osorio,Progression hub,Defensive ball-winner,progressive passes; threat contribution; recoveries; shots,central losses,D. Osorio profiles as progression hub. Monitor central losses.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,423651,E. Chilufya,Progression hub,Transition outlet,balanced contribution,loss risk per action,E. Chilufya profiles as progression hub. Monitor loss risk per action.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,430901,E. Olafsson,Defensive ball-winner,Low involvement,balanced contribution,no standout risk flag,E. Olafsson profiles as defensive ball-winner.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,450048,K. Askildsen,Balanced role,,balanced contribution,no standout risk flag,K. Askildsen profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,536679,P. Bravo,Balanced role,,balanced contribution,no standout risk flag,P. Bravo profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,57513,J. Lossl,Balanced role,,balanced contribution,no standout risk flag,J. Lossl profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,568423,V. Byskov,Defensive ball-winner,Progression hub,balanced contribution,no standout risk flag,V. Byskov profiles as defensive ball-winner.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,553784,D. Castillo,Balanced role,,balanced contribution,no standout risk flag,D. Castillo profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,Final-third connector,Defensive ball-winner,progressive passes; threat contribution; recoveries; involvement share,no standout risk flag,M. Bech profiles as final-third connector.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,494784,Oliver Sorensen,Box threat,Transition outlet,shots; involvement share,no standout risk flag,Oliver Sorensen profiles as box threat.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,240529,J. Kuchta,Progression hub,Transition outlet,balanced contribution,loss risk per action; central losses,"J. Kuchta profiles as progression hub. Monitor loss risk per action, central losses."
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,492474,Lee Han-Beom,Balanced role,,balanced contribution,no standout risk flag,Lee Han-Beom profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,568414,M. Kruger-Johnsen,Balanced role,,balanced contribution,no standout risk flag,M. Kruger-Johnsen profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,120721,K. Mbabu,Progression hub,Final-third connector,progressive passes; threat contribution,loss risk per action; dangerous losses; central losses,"K. Mbabu profiles as progression hub. Monitor loss risk per action, dangerous losses."
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,609108,O. Diao,Defensive ball-winner,Progression hub,progressive passes; recoveries; involvement share,no standout risk flag,O. Diao profiles as defensive ball-winner.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477664,V. Lind,Balanced role,,balanced contribution,no standout risk flag,V. Lind profiles as balanced role.
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,477672,A. Simsir,Box threat,Final-third connector,balanced contribution,loss risk per action; dangerous losses; central losses,"A. Simsir profiles as box threat. Monitor loss risk per action, dangerous losses."
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,474838,E. Martinez,Defensive ball-winner,Progression hub,progressive passes; recoveries; shots; involvement share,dangerous losses; central losses,"E. Martinez profiles as defensive ball-winner. Monitor dangerous losses, central losses."
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,204164,J. Andersson,Progression hub,Final-third connector,progressive passes; threat contribution; recoveries; involvement share,dangerous losses; central losses,"J. Andersson profiles as progression hub. Monitor dangerous losses, central losses."
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,551144,Franculino Dju,Box threat,Final-third connector,threat contribution; shots,loss risk per action,Franculino Dju profiles as box threat. Monitor loss risk per action.
