match_id,team,player_id,player_name,metric_name,metric_value,metric_unit,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level,confidence_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,max_speed_kmh,31.644,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,220246,P. Hatzidiakos,avg_speed_kmh,8.3621,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,minutes_played,96.5733,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,live_minutes,48.3013,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,distance_covered_m,6852.0044,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,high_speed_distance_m,628.7544,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,sprint_distance_m,165.9904,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,max_speed_kmh,31.536,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,228044,M. Bech,avg_speed_kmh,8.5115,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,minutes_played,96.5733,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,live_minutes,48.3013,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,distance_covered_m,3082.4716,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,high_speed_distance_m,16.9336,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,sprint_distance_m,0,meters,tracking-derived,,Player Impact,ranked bar chart,medium,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,max_speed_kmh,21.744,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,232398,N. Trott,avg_speed_kmh,3.829,km/h,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,240529,J. Kuchta,minutes_played,63.9793,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,240529,J. Kuchta,live_minutes,33.546,minutes,tracking-derived,,Player Impact,ranked bar chart,medium,high
