match_id,team,opponent,period,minute_bin,metric_name,metric_value,metric_unit,zone,channel,interpretation_label,insight_text,dashboard_section,recommended_chart_type,priority_level
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,box_entries,0,count,,,low,FCM generated 0.00 box entries in /.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,dangerous_losses,0,count,,,low,FCM generated 0.00 dangerous losses in /.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,recoveries,0,count,,,low,FCM generated 0.00 recoveries in /.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,threat,0,index,,,low,FCM generated 0.00 threat in /.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,total_actions,168,count,middle_third,left_channel,high,FCK generated 168.00 total actions in middle_third/left_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,progressive_passes,11,count,middle_third,left_channel,high,FCK generated 11.00 progressive passes in middle_third/left_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,final_third_entries,21,count,middle_third,left_channel,high,FCK generated 21.00 final third entries in middle_third/left_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,box_entries,1,count,middle_third,left_channel,moderate,FCK generated 1.00 box entries in middle_third/left_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,dangerous_losses,0,count,middle_third,left_channel,low,FCK generated 0.00 dangerous losses in middle_third/left_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,recoveries,27,count,middle_third,left_channel,high,FCK generated 27.00 recoveries in middle_third/left_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,threat,1.15,index,middle_third,left_channel,moderate,FCK generated 1.15 threat in middle_third/left_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,total_actions,215,count,defensive_third,right_channel,high,FCK generated 215.00 total actions in defensive_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,progressive_passes,9,count,defensive_third,right_channel,moderate,FCK generated 9.00 progressive passes in defensive_third/right_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,final_third_entries,5,count,defensive_third,right_channel,moderate,FCK generated 5.00 final third entries in defensive_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,box_entries,1,count,defensive_third,right_channel,moderate,FCK generated 1.00 box entries in defensive_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,dangerous_losses,0,count,defensive_third,right_channel,low,FCK generated 0.00 dangerous losses in defensive_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,recoveries,8,count,defensive_third,right_channel,moderate,FCK generated 8.00 recoveries in defensive_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,threat,1.3786,index,defensive_third,right_channel,moderate,FCK generated 1.38 threat in defensive_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,total_actions,129,count,attacking_third,right_channel,high,FCK generated 129.00 total actions in attacking_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,progressive_passes,1,count,attacking_third,right_channel,moderate,FCK generated 1.00 progressive passes in attacking_third/right_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,final_third_entries,0,count,attacking_third,right_channel,low,FCK generated 0.00 final third entries in attacking_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,box_entries,29,count,attacking_third,right_channel,high,FCK generated 29.00 box entries in attacking_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,dangerous_losses,0,count,attacking_third,right_channel,low,FCK generated 0.00 dangerous losses in attacking_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,recoveries,14,count,attacking_third,right_channel,high,FCK generated 14.00 recoveries in attacking_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,threat,1.6891,index,attacking_third,right_channel,moderate,FCK generated 1.69 threat in attacking_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,total_actions,170,count,attacking_third,central_channel,high,FCK generated 170.00 total actions in attacking_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,progressive_passes,3,count,attacking_third,central_channel,moderate,FCK generated 3.00 progressive passes in attacking_third/central_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,final_third_entries,0,count,attacking_third,central_channel,low,FCK generated 0.00 final third entries in attacking_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,box_entries,87,count,attacking_third,central_channel,high,FCK generated 87.00 box entries in attacking_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,dangerous_losses,0,count,attacking_third,central_channel,low,FCK generated 0.00 dangerous losses in attacking_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,recoveries,16,count,attacking_third,central_channel,high,FCK generated 16.00 recoveries in attacking_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCK,FCM,,,threat,4.2573,index,attacking_third,central_channel,moderate,FCK generated 4.26 threat in attacking_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,total_actions,224,count,attacking_third,central_channel,high,FCM generated 224.00 total actions in attacking_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,progressive_passes,3,count,attacking_third,central_channel,moderate,FCM generated 3.00 progressive passes in attacking_third/central_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,final_third_entries,0,count,attacking_third,central_channel,low,FCM generated 0.00 final third entries in attacking_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,box_entries,132,count,attacking_third,central_channel,high,FCM generated 132.00 box entries in attacking_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,dangerous_losses,0,count,attacking_third,central_channel,low,FCM generated 0.00 dangerous losses in attacking_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,recoveries,15,count,attacking_third,central_channel,high,FCM generated 15.00 recoveries in attacking_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,threat,3.2895,index,attacking_third,central_channel,moderate,FCM generated 3.29 threat in attacking_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,total_actions,253,count,defensive_third,central_channel,high,FCM generated 253.00 total actions in defensive_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,progressive_passes,3,count,defensive_third,central_channel,moderate,FCM generated 3.00 progressive passes in defensive_third/central_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,final_third_entries,11,count,defensive_third,central_channel,high,FCM generated 11.00 final third entries in defensive_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,box_entries,0,count,defensive_third,central_channel,low,FCM generated 0.00 box entries in defensive_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,dangerous_losses,34,count,defensive_third,central_channel,high,FCM generated 34.00 dangerous losses in defensive_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,recoveries,26,count,defensive_third,central_channel,high,FCM generated 26.00 recoveries in defensive_third/central_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,threat,2.124,index,defensive_third,central_channel,moderate,FCM generated 2.12 threat in defensive_third/central_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,total_actions,285,count,middle_third,right_channel,high,FCM generated 285.00 total actions in middle_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,progressive_passes,10,count,middle_third,right_channel,high,FCM generated 10.00 progressive passes in middle_third/right_channel.,Territory & Control,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,final_third_entries,44,count,middle_third,right_channel,high,FCM generated 44.00 final third entries in middle_third/right_channel.,Executive Match Overview,pitch heatmap,medium
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,box_entries,8,count,middle_third,right_channel,moderate,FCM generated 8.00 box entries in middle_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
8cfdb681-32cf-4ebf-81f1-5c0839ec82d5,FCM,FCK,,,dangerous_losses,0,count,middle_third,right_channel,low,FCM generated 0.00 dangerous losses in middle_third/right_channel.,Chance Creation & Final Third,pitch heatmap,high
